codegeo,libgeo,dcomiris,lib_iris,type_iris,au,lib_au,uu,dep,agri,articom,cadres,profint,employes,ouvriers,actifs,proprietai,locpriv,hlm,gratuit,logements,no_diploma,brevet,cap_bep,bac,bac_2,bac_3_4,bac_5,pop_noscol,p_agri,p_articom,p_cadres,p_profint,p_employes,p_ouvriers,p_propriet,p_locpriv,p_hlm,p_gratuit,p_nodiplom,p_brevet,p_cap_bep,p_bac,p_bac_2,p_bac_3_4,p_bac_5
"69385",Lyon 5e Arrondissement,"693850201",Fourviere-Antiquaille,A,"002",Lyon,UU00758,"69","0","19","123","102","56","17","317","67","212","1","15","296","24","3","19","54","31","64","117","312",0.000000000000000,5.993691000000000,38.801259999999999,32.176650000000002,17.665620000000001,5.362776000000000,22.635140000000000,71.621619999999993,0.337837800000000,5.067567000000000,7.692307000000000,0.961538400000000,6.089744000000000,17.307690000000001,9.935898000000000,20.512820000000001,37.500000000000000
"69386",Lyon 6e Arrondissement,"693860502",L'Europe,H,"002",Lyon,UU00758,"69","0","52","466","265","191","71","1045","525","417","148","53","1142","177","62","128","210","162","264","535","1539",0.000000000000000,4.976077000000000,44.593299999999999,25.358850000000000,18.277509999999999,6.794259000000000,45.971980000000002,36.514879999999998,12.959720000000001,4.640981000000000,11.500970000000001,4.028590000000001,8.317088999999999,13.645220000000000,10.526320000000000,17.154000000000000,34.762830000000001
"69381",Lyon 1er Arrondissement,"693810501",Mairie-Martiniere,H,"002",Lyon,UU00758,"69","0","100","577","414","202","40","1333","391","784","51","49","1274","89","35","98","208","183","289","652","1554",0.000000000000000,7.501875000000000,43.285820000000001,31.057759999999998,15.153790000000001,3.000750000000000,30.690740000000002,61.538460000000001,4.003139000000000,3.846154000000000,5.727156000000000,2.252252000000000,6.306306000000000,13.384810000000000,11.776059999999999,18.597169999999998,41.956240000000001
"69387",Lyon 7e Arrondissement,"693870203",Mairie,H,"002",Lyon,UU00758,"69","0","53","564","385","246","66","1314","554","821","0","44","1419","182","63","131","195","169","311","565","1615",0.000000000000000,4.033485000000000,42.922370000000001,29.299849999999999,18.721460000000000,5.022831000000000,39.041580000000003,57.857650000000000,0.000000000000000,3.100775000000000,11.269349999999999,3.900929000000000,8.111454999999999,12.074299999999999,10.464399999999999,19.256969999999999,34.984520000000003
"69387",Lyon 7e Arrondissement,"693870503",Lamothe,H,"002",Lyon,UU00758,"69","0","49","586","744","646","272","2297","711","954","449","49","2162","383","115","488","536","321","433","632","2908",0.000000000000000,2.133217000000000,25.511540000000000,32.390079999999998,28.123640000000002,11.841530000000001,32.886220000000002,44.125810000000001,20.767810000000001,2.266420000000000,13.170560000000000,3.954608000000000,16.781289999999998,18.431909999999998,11.038510000000000,14.889960000000000,21.733149999999998
"69387",Lyon 7e Arrondissement,"693870701",L'Artillerie-La Gare,A,"002",Lyon,UU00758,"69","0","33","239","317","298","138","1025","290","399","123","2","814","168","53","256","197","173","207","223","1278",0.000000000000000,3.219512000000000,23.317070000000001,30.926829999999999,29.073170000000001,13.463410000000000,35.626539999999999,49.017200000000003,15.110569999999999,0.245700200000000,13.145540000000000,4.147105000000000,20.031300000000002,15.414709999999999,13.536780000000000,16.197179999999999,17.449140000000000
"69387",Lyon 7e Arrondissement,"693870703",Cité Jardin,H,"002",Lyon,UU00758,"69","0","51","425","544","584","357","1961","429","832","701","38","1999","691","111","465","335","300","371","390","2662",0.000000000000000,2.600714000000000,21.672619999999998,27.740950000000002,29.780719999999999,18.204999999999998,21.460730000000002,41.620809999999999,35.067540000000001,1.900950000000000,25.957930000000001,4.169797000000000,17.468070000000001,12.584519999999999,11.269720000000000,13.936890000000000,14.650639999999999
"69386",Lyon 6e Arrondissement,"693860702",Les Charmettes-Lafayette,H,"002",Lyon,UU00758,"69","1","71","811","661","441","141","2126","527","1353","162","44","2086","289","81","234","284","286","414","888","2476",0.047036700000000,3.339605000000000,38.146760000000000,31.091249999999999,20.743179999999999,6.632173000000000,25.263660000000002,64.860979999999998,7.766059000000000,2.109300000000000,11.672050000000000,3.271405000000000,9.450727000000001,11.470110000000000,11.550890000000001,16.720520000000000,35.864300000000000
"69384",Lyon 4e Arrondissement,"693840201",Hopital-Saint-Denis,A,"002",Lyon,UU00758,"69","0","8","67","40","54","13","182","37","98","26","0","161","22","8","33","62","24","19","64","231",0.000000000000000,4.395605000000000,36.813189999999999,21.978020000000001,29.670330000000000,7.142857000000000,22.981369999999998,60.869560000000000,16.149069999999998,0.000000000000000,9.523809000000000,3.463203000000000,14.285710000000000,26.839829999999999,10.389609999999999,8.225108000000002,27.705629999999999
"69383",Lyon 3e Arrondissement,"693830403",Pompidou,A,"002",Lyon,UU00758,"69","0","26","278","198","111","33","646","147","359","33","22","562","132","37","89","135","92","141","304","930",0.000000000000000,4.024768000000000,43.034059999999997,30.650150000000000,17.182659999999998,5.108359000000000,26.156580000000002,63.879010000000001,5.871886000000000,3.914591000000000,14.193550000000000,3.978495000000000,9.569893000000000,14.516130000000000,9.892473000000001,15.161289999999999,32.688170000000000
